,Nível de Cultivo,Tipo,Preço médio,% Qualidade Normal,% Qualidade Prata,% Qualidade Ouro,% Qualidade Irídio
0,0,1.solo_normal,1.01,97%,2%,1%,
1,0,2.fertilizante_basico,1.04,88%,8%,4%,
2,0,4.fertilizante_premium,1.15,66%,19%,10%,6%
3,0,3.fertilizante_qualidade,1.07,78%,14%,8%,
4,1,3.fertilizante_qualidade,1.12,64%,23%,13%,
5,1,4.fertilizante_premium,1.24,48%,27%,16%,9%
6,1,2.fertilizante_basico,1.08,77%,15%,8%,
7,1,1.solo_normal,1.03,91%,6%,3%,
8,2,1.solo_normal,1.05,85%,10%,5%,
9,2,2.fertilizante_basico,1.11,68%,20%,12%,
10,2,4.fertilizante_premium,1.32,33%,33%,22%,13%
11,2,3.fertilizante_qualidade,1.17,52%,30%,18%,
12,3,3.fertilizante_qualidade,1.21,40%,36%,24%,
13,3,4.fertilizante_premium,1.39,21%,37%,27%,16%
14,3,2.fertilizante_basico,1.14,59%,26%,15%,
15,3,1.solo_normal,1.07,80%,13%,7%,
16,4,1.solo_normal,1.09,75%,16%,9%,
17,4,2.fertilizante_basico,1.17,50%,31%,19%,
18,4,4.fertilizante_premium,1.44,12%,37%,31%,20%
19,4,3.fertilizante_qualidade,1.25,30%,41%,29%,
20,5,3.fertilizante_qualidade,1.28,21%,45%,34%,
21,5,4.fertilizante_premium,1.49,10%,31%,35%,23%
22,5,2.fertilizante_basico,1.2,42%,35%,23%,
23,5,1.solo_normal,1.1,69%,20%,11%,
24,6,1.solo_normal,1.12,64%,23%,13%,
25,6,2.fertilizante_basico,1.23,35%,39%,26%,
26,6,4.fertilizante_premium,1.52,9%,26%,39%,27%
27,6,3.fertilizante_qualidade,1.31,15%,45%,40%,
28,7,4.fertilizante_premium,1.56,7%,21%,42%,30%
29,7,3.fertilizante_qualidade,1.33,14%,41%,45%,
30,7,2.fertilizante_basico,1.25,28%,42%,30%,
31,7,1.solo_normal,1.14,60%,25%,15%,
32,8,3.fertilizante_qualidade,1.34,13%,37%,50%,
33,8,4.fertilizante_premium,1.6,5%,16%,45%,34%
34,8,2.fertilizante_basico,1.28,22%,44%,34%,
35,8,1.solo_normal,1.16,55%,28%,17%,
36,9,2.fertilizante_basico,1.3,16%,47%,37%,
37,9,3.fertilizante_qualidade,1.36,11%,33%,56%,
38,9,4.fertilizante_premium,1.63,4%,12%,47%,37%
39,9,1.solo_normal,1.17,50%,31%,19%,
40,10,4.fertilizante_premium,1.67,3%,8%,48%,41%
41,10,2.fertilizante_basico,1.32,15%,44%,41%,
42,10,1.solo_normal,1.19,46%,33%,21%,
43,10,3.fertilizante_qualidade,1.38,10%,29%,61%,
44,11,1.solo_normal,1.2,42%,35%,23%,
45,11,4.fertilizante_premium,1.7,2%,5%,49%,44%
46,11,2.fertilizante_basico,1.33,14%,41%,45%,
47,11,3.fertilizante_qualidade,1.39,9%,25%,66%,
48,12,2.fertilizante_basico,1.34,13%,39%,48%,
49,12,1.solo_normal,1.22,38%,37%,25%,
50,12,4.fertilizante_premium,1.73,1%,2%,50%,48%
51,12,3.fertilizante_qualidade,1.41,7%,21%,72%,
52,13,3.fertilizante_qualidade,1.43,6%,17%,77%,
53,13,2.fertilizante_basico,1.35,12%,36%,52%,
54,13,1.solo_normal,1.23,34%,39%,27%,
55,13,4.fertilizante_premium,1.76,0%,0%,49%,51%
